alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,16x16,,2203,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,5,200,20.0,100.0,0.01474,0.00821,3.69,0,100
2,16x16,,2205,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,5,200,20.0,100.0,0.02314,0.01545,5.2,0,100
2,16x16,,2211,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,5,200,20.0,100.0,0.01552,0.01174,3.46,0,100
2,16x16,,2214,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,5,200,20.0,100.0,0.01517,0.01209,3.67,0,100
2,16x16,,2223,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,5,200,20.0,100.0,0.01899,0.01334,3.68,0,100
2,16x16,,2228,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,5,200,20.0,100.0,0.07302,0.09319,13.98,0,100
2,16x16,,2230,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,5,200,20.0,100.0,0.02296,0.03627,4.61,0,100
2,16x16,,2233,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,5,200,20.0,100.0,0.03273,0.07942,5.43,1,99
2,16x16,,2234,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,5,200,20.0,100.0,0.02516,0.01954,5.4,0,100
2,16x16,,2237,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,5,200,20.0,100.0,0.08753,0.21361,15.84,4,96
2,16x16,,2251,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,5,200,20.0,100.0,0.01867,0.01988,3.16,0,100
2,16x16,,2256,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,5,200,20.0,100.0,0.04091,0.06627,9.56,0,100
2,16x16,,2265,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,5,200,20.0,100.0,0.00793,0.00277,1.94,0,100
2,16x16,,2280,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,5,200,20.0,100.0,0.01335,0.00451,3.2,0,100
2,16x16,,2281,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,5,200,20.0,100.0,0.01574,0.01307,3.31,0,100
2,16x16,,2288,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,5,200,20.0,100.0,0.05269,0.09034,10.91,0,100
2,16x16,,2291,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,5,200,20.0,100.0,0.01158,0.00437,2.63,0,100
2,16x16,,2292,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,5,200,20.0,100.0,0.02383,0.0408,4.58,0,100
2,16x16,,2297,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,5,200,20.0,100.0,0.04801,0.0688,9.98,0,100
2,16x16,,2300,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,5,200,20.0,100.0,0.0145,0.03287,3.39,0,100
2,16x16,,2314,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,5,200,20.0,100.0,0.02231,0.02347,3.96,0,100
2,16x16,,2330,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,5,200,20.0,100.0,0.01622,0.01565,2.84,0,100
