alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,16x16,,2203,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01758,0.01064,3.78,0,100
2,16x16,,2205,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02176,0.01517,4.71,0,100
2,16x16,,2211,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01311,0.00487,3.45,0,100
2,16x16,,2214,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.0172,0.01196,4.04,0,100
2,16x16,,2223,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01631,0.00643,3.67,0,100
2,16x16,,2228,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.05412,0.06943,10.58,0,100
2,16x16,,2230,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02201,0.01,3.67,0,100
2,16x16,,2233,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.09552,0.62843,9.77,1,99
2,16x16,,2234,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02239,0.01245,4.56,0,100
2,16x16,,2237,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.11726,0.31737,12.75,4,96
2,16x16,,2251,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01942,0.00876,3.05,0,100
2,16x16,,2256,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.08867,0.15088,11.51,0,100
2,16x16,,2265,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01797,0.00794,2.09,0,100
2,16x16,,2280,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.03648,0.03802,3.44,0,100
2,16x16,,2281,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02751,0.01178,3.41,0,100
2,16x16,,2288,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.07953,0.10262,8.89,0,100
2,16x16,,2291,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02622,0.02317,2.71,0,100
2,16x16,,2292,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.03632,0.06355,4.46,0,100
2,16x16,,2297,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.05117,0.09173,5.98,0,100
2,16x16,,2300,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02053,0.01147,2.7,0,100
2,16x16,,2314,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.0304,0.0171,3.39,0,100
2,16x16,,2330,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01634,0.00774,2.14,0,100
2,16x16,,2333,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02189,0.00673,2.46,0,100
2,16x16,,2338,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.03068,0.0181,4.31,0,100
2,16x16,,2349,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.48021,1.01365,38.68,10,90
2,16x16,,2350,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.03389,0.01741,3.56,0,100
2,16x16,,2354,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,99.0,1.1751,1.85116,90.76,29,70
2,16x16,,2355,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02532,0.01153,3.4,0,100
2,16x16,,2357,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.07998,0.17079,8.57,0,100
2,16x16,,2367,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.10485,0.7161,8.09,1,99
2,16x16,,2370,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.0212,0.00826,2.33,0,100
2,16x16,,2371,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.11541,0.20205,14.56,1,99
2,16x16,,2374,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.03698,0.02238,4.49,0,100
2,16x16,,2379,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.05282,0.07121,8.2,0,100
2,16x16,,2383,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02026,0.00512,2.62,0,100
2,16x16,,2388,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02907,0.033,4.73,0,100
2,16x16,,2390,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,99.0,0.22301,1.30422,20.07,2,97
2,16x16,,2395,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02349,0.00511,2.92,0,100
2,16x16,,2405,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,99.0,1.41624,2.60456,95.16,30,69
2,16x16,,2407,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02073,0.01008,2.63,0,100
2,16x16,,2411,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.04796,0.05616,7.91,0,100
2,16x16,,2418,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01804,0.00761,2.96,0,100
2,16x16,,2435,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.04014,0.05277,6.09,0,100
2,16x16,,2436,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02567,0.02485,5.1,0,100
2,16x16,,2443,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.09489,0.23092,13.72,5,95
2,16x16,,2446,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01013,0.00192,2.06,0,100
2,16x16,,2448,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.0964,0.16755,18.03,2,98
2,16x16,,2449,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01602,0.00417,2.7,0,100
2,16x16,,2451,,10,5,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01083,0.01274,2.47,0,100
