alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,16x16,,2203,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01865,0.01235,4.5,0,100
2,16x16,,2205,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02697,0.03526,5.67,0,100
2,16x16,,2211,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01445,0.01546,3.45,0,100
2,16x16,,2214,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02016,0.0243,4.09,0,100
2,16x16,,2223,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01974,0.00793,3.79,0,100
2,16x16,,2228,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.12326,0.19965,17.71,1,99
2,16x16,,2230,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01903,0.01161,3.96,0,100
2,16x16,,2233,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02728,0.04799,4.94,0,100
2,16x16,,2234,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02682,0.02419,5.8,0,100
2,16x16,,2237,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.14181,0.27051,21.63,6,94
2,16x16,,2251,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01167,0.00565,3.0,0,100
2,16x16,,2256,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.05003,0.0977,10.52,0,100
2,16x16,,2265,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01416,0.01128,2.06,0,100
2,16x16,,2280,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.02028,0.04548,3.63,0,100
2,16x16,,2281,,10,4,0.9,0.9,0.005,25,1,1.5,0.01,0.995,100,10,200,20.0,100.0,0.01812,0.00998,3.81,0,100
