alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,16x16,,2203,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.01545,0.00792,4.01,0,100
2,16x16,,2205,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.02075,0.02716,6.03,0,100
2,16x16,,2211,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.00794,0.00238,3.4,0,100
2,16x16,,2214,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.01128,0.00645,4.24,0,100
2,16x16,,2223,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.01272,0.00643,3.7,0,100
2,16x16,,2228,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.0892,0.11237,18.98,0,100
2,16x16,,2230,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.02138,0.02278,3.98,0,100
2,16x16,,2233,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.02449,0.05125,5.51,0,100
2,16x16,,2234,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.02278,0.01693,5.59,0,100
2,16x16,,2237,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.11658,0.24086,20.93,7,93
2,16x16,,2251,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.01227,0.00621,3.16,0,100
2,16x16,,2256,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.05147,0.06549,11.2,0,100
2,16x16,,2265,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.03216,0.05976,1.99,0,100
2,16x16,,2280,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.01441,0.0082,3.12,0,100
2,16x16,,2281,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.01356,0.00565,3.53,0,100
2,16x16,,2288,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.04694,0.0582,10.56,0,100
2,16x16,,2291,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.01323,0.00852,2.98,0,100
2,16x16,,2292,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.02062,0.03092,4.38,0,100
2,16x16,,2297,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.03528,0.05273,8.28,0,100
2,16x16,,2300,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.00961,0.00332,2.74,0,100
2,16x16,,2314,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.01644,0.00944,3.23,0,100
2,16x16,,2330,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.01235,0.00906,2.73,0,100
2,16x16,,2333,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.03579,0.0839,2.45,0,100
2,16x16,,2338,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.01773,0.01033,4.49,0,100
2,16x16,,2349,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.23683,0.38051,37.76,12,88
2,16x16,,2350,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.01268,0.00467,3.44,0,100
2,16x16,,2354,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.81959,1.33984,122.35,33,67
2,16x16,,2355,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.05593,0.11606,3.6,0,100
2,16x16,,2357,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.04235,0.11929,8.78,3,97
2,16x16,,2367,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.01501,0.00742,3.47,0,100
2,16x16,,2370,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.00761,0.00283,2.14,0,100
2,16x16,,2371,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.05084,0.08358,11.95,0,100
2,16x16,,2374,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.01786,0.01767,4.29,0,100
2,16x16,,2379,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.08843,0.18058,9.58,0,100
2,16x16,,2383,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.00843,0.00384,2.55,0,100
2,16x16,,2388,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.02813,0.06894,8.63,2,98
2,16x16,,2390,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,96.0,0.43204,1.62154,59.38,9,87
2,16x16,,2395,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.01058,0.00285,2.93,0,100
2,16x16,,2405,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,1.01592,2.19538,124.79,37,63
2,16x16,,2407,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.00987,0.01137,3.23,0,100
2,16x16,,2411,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.08841,0.1774,11.04,0,100
2,16x16,,2418,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.03085,0.0966,2.95,0,100
2,16x16,,2435,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.03664,0.05789,8.33,0,100
2,16x16,,2436,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.01688,0.00898,5.12,0,100
2,16x16,,2443,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.11659,0.24334,20.68,9,91
2,16x16,,2446,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.00801,0.00242,2.06,0,100
2,16x16,,2448,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.17187,0.26532,32.73,10,90
2,16x16,,2449,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.01345,0.00545,2.75,0,100
2,16x16,,2451,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.0076,0.00549,2.41,0,100
2,16x16,,2452,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.08127,0.14549,5.82,0,100
2,16x16,,2454,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.01327,0.03788,4.37,0,100
2,16x16,,2456,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.00804,0.00429,2.77,0,100
2,16x16,,2467,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.01621,0.01471,3.76,0,100
2,16x16,,2468,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.02722,0.05395,5.17,0,100
2,16x16,,2471,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.01428,0.00919,4.18,0,100
2,16x16,,2475,,10,4,0.9,0.9,0.005,50,1,10.0,0.01,0.995,100,10,200,20.0,100.0,0.0163,0.01112,3.74,0,100
