alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,16x16,,2203,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,25,100,0.01511,0.00848,3.81,0,100
2,16x16,,2205,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,25,100,0.02506,0.04479,6.3,0,100
2,16x16,,2211,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,25,100,0.01116,0.00676,3.34,0,100
2,16x16,,2214,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,25,100,0.01212,0.00493,3.75,0,100
2,16x16,,2223,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,25,100,0.01635,0.00783,4.24,0,100
2,16x16,,2228,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,25,100,0.06638,0.09737,16.86,1,99
2,16x16,,2230,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,25,100,0.01496,0.0058,3.98,0,100
2,16x16,,2233,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,25,100,0.02236,0.06841,6.24,1,99
2,16x16,,2234,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,25,100,0.01672,0.01535,5.89,0,100
2,16x16,,2237,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,25,100,0.12465,0.22611,22.31,9,91
2,16x16,,2251,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,25,100,0.01122,0.0062,2.87,0,100
2,16x16,,2256,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,25,100,0.03471,0.05263,8.89,0,100
2,16x16,,2265,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,25,100,0.00783,0.0022,1.96,0,100
2,16x16,,2280,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,25,100,0.01248,0.0041,3.11,0,100
2,16x16,,2281,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,25,100,0.01606,0.05126,4.38,1,99
2,16x16,,2288,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,25,100,0.02844,0.02608,8.67,0,100
2,16x16,,2291,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,25,100,0.01035,0.00537,2.97,0,100
2,16x16,,2292,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,25,100,0.01268,0.00918,3.69,0,100
2,16x16,,2297,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,25,100,0.02372,0.03397,6.64,0,100
2,16x16,,2300,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,25,100,0.01279,0.02476,3.63,0,100
2,16x16,,2314,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,25,100,0.01466,0.00841,3.72,0,100
2,16x16,,2330,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,25,100,0.00945,0.01011,2.73,0,100
2,16x16,,2333,,10,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,25,100,0.01183,0.00554,2.48,0,100
