alg,puzzle_size,f%,instance_id,instance_path,ants,threads,q0,rho,bve,safreq,saAccept,saTinit,saTmin,saCooling,commEarly,commLate,commThreshold,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,25x25,40,9,,5,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,2.4318,5.0868,183.06,27,73
2,25x25,40,10,,5,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,0.64721,0.63541,50.43,10,90
2,25x25,40,30,,5,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,3.48681,8.18776,256.23,32,68
2,25x25,40,50,,5,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,5.5363,10.56111,407.09,48,52
2,25x25,40,57,,5,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,2.23403,5.4509,167.31,25,75
2,25x25,40,62,,5,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,5.80034,9.91871,435.75,46,54
2,25x25,40,79,,5,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,1.74694,4.14801,134.51,14,86
2,25x25,40,80,,5,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,0.65641,0.79607,54.24,6,94
2,25x25,40,89,,5,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,0.74407,1.21651,63.44,13,87
2,25x25,40,99,,5,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,0.997,1.36932,83.03,17,83
2,25x25,45,1,,5,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,84,9.39879,16.2662,823.63,70,14
2,25x25,45,2,,5,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,99,3.35813,10.12611,301.68,51,48
2,25x25,45,3,,5,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,3.07316,4.13032,271.66,66,34
2,25x25,45,4,,5,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,99,4.0456,9.21617,366.69,67,32
2,25x25,45,6,,5,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,99,3.60445,10.94759,330.23,68,31
2,25x25,45,7,,5,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,1.99932,2.9703,182.25,52,48
2,25x25,45,8,,5,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,99,1.49653,5.49743,138.34,34,65
2,25x25,45,11,,5,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,1.18201,2.09473,117.25,33,67
2,25x25,45,14,,5,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,0.37792,0.37819,42.6,8,92
2,25x25,45,15,,5,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,2.96264,6.50374,272.27,61,39
2,25x25,45,16,,5,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,1.13382,2.35222,109.44,27,73
2,25x25,45,17,,5,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,1.48467,2.30634,139.52,39,61
2,25x25,45,18,,5,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,0.53346,0.47153,56.22,12,88
2,25x25,45,19,,5,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,3.82107,5.33515,351.95,69,31
2,25x25,45,21,,5,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,99,6.48674,14.01745,552.1,67,32
2,25x25,45,23,,5,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,2.09127,4.85665,187.67,41,59
2,25x25,45,24,,5,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,89,12.61546,17.23919,1129.96,83,6
2,25x25,45,26,,5,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,2.62105,3.9888,243.25,54,46
2,25x25,45,29,,5,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,98,2.10573,5.01951,192.55,43,55
2,25x25,45,32,,5,4,0.9,0.9,0.005,50,1,1.5,0.01,0.995,100,10,200,120,100,0.94752,0.95709,92.03,30,70
