alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
0,16x16,,2000,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.12382,1.10987,48.05,,
0,16x16,,2001,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.00612,0.00268,2.07,,
0,16x16,,2002,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.16823,0.3978,60.23,,
0,16x16,,2003,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.03168,0.05708,14.09,,
0,16x16,,2004,,10,4,0.9,0.9,0.005,0,20.0,99.0,0.23911,0.77465,83.8,,
0,16x16,,2005,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.00686,0.00779,2.54,,
0,16x16,,2006,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.03625,0.09977,12.73,,
0,16x16,,2007,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.00231,0.0008,1.19,,
0,16x16,,2008,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.05037,0.06145,15.26,,
0,16x16,,2009,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.00667,0.00272,2.01,,
0,16x16,,2010,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.0814,0.30169,27.03,,
0,16x16,,2011,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.0371,0.05108,11.57,,
0,16x16,,2012,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.01966,0.02831,8.75,,
0,16x16,,2013,,10,4,0.9,0.9,0.005,0,20.0,99.0,0.08831,0.26791,38.71,,
0,16x16,,2014,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.00186,0.00079,1.34,,
0,16x16,,2015,,10,4,0.9,0.9,0.005,0,20.0,99.0,0.05517,0.18217,23.84,,
0,16x16,,2016,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.00259,0.00121,1.06,,
0,16x16,,2017,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.00576,0.00436,2.11,,
0,16x16,,2018,,10,4,0.9,0.9,0.005,0,20.0,99.0,0.26158,0.59613,102.85,,
0,16x16,,2019,,10,4,0.9,0.9,0.005,0,20.0,100.0,0.04464,0.08438,21.69,,
